pid,name,username,cpu_percent,memory_info
3336,SecurityHealthSystray.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=10072064, vms=1961984, num_page_faults=2903, peak_wset=10211328, wset=10072064, peak_paged_pool=154992, paged_pool=148608, peak_nonpaged_pool=10872, nonpaged_pool=9648, pagefile=1961984, peak_pagefile=2138112, private=1961984)"
3340,svchost.exe,,0.0,"pmem(rss=19189760, vms=9981952, num_page_faults=27476, peak_wset=47255552, wset=19189760, peak_paged_pool=121728, paged_pool=115592, peak_nonpaged_pool=23752, nonpaged_pool=17904, pagefile=9981952, peak_pagefile=40263680, private=9981952)"
3356,RAVBg64.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=13635584, vms=5021696, num_page_faults=5172, peak_wset=14385152, wset=13635584, peak_paged_pool=184224, paged_pool=183952, peak_nonpaged_pool=15072, nonpaged_pool=13520, pagefile=5021696, peak_pagefile=5193728, private=5021696)"
3368,svchost.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=24092672, vms=6131712, num_page_faults=8410, peak_wset=24170496, wset=24092672, peak_paged_pool=228600, paged_pool=226224, peak_nonpaged_pool=28104, nonpaged_pool=27560, pagefile=6131712, peak_pagefile=6905856, private=6131712)"
3372,chrome.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=20221952, vms=11862016, num_page_faults=5406, peak_wset=20271104, wset=20221952, peak_paged_pool=647624, paged_pool=647320, peak_nonpaged_pool=15976, nonpaged_pool=15088, pagefile=11862016, peak_pagefile=12005376, private=11862016)"
3596,svchost.exe,,0.0,"pmem(rss=14409728, vms=4345856, num_page_faults=8158, peak_wset=15298560, wset=14409728, peak_paged_pool=126720, paged_pool=125984, peak_nonpaged_pool=16568, nonpaged_pool=14392, pagefile=4345856, peak_pagefile=5046272, private=4345856)"
3664,RtkAudioService64.exe,,0.0,"pmem(rss=7303168, vms=1978368, num_page_faults=5286, peak_wset=9363456, wset=7303168, peak_paged_pool=124480, paged_pool=113736, peak_nonpaged_pool=11128, nonpaged_pool=9304, pagefile=1978368, peak_pagefile=2224128, private=1978368)"
3672,Code.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=118812672, vms=195235840, num_page_faults=154377, peak_wset=119447552, wset=118812672, peak_paged_pool=962168, paged_pool=910024, peak_nonpaged_pool=32192, nonpaged_pool=29248, pagefile=195235840, peak_pagefile=246136832, private=195235840)"
3676,dasHost.exe,,0.0,"pmem(rss=13004800, vms=4083712, num_page_faults=8237, peak_wset=14008320, wset=13004800, peak_paged_pool=109352, paged_pool=105592, peak_nonpaged_pool=23544, nonpaged_pool=17496, pagefile=4083712, peak_pagefile=5386240, private=4083712)"
3704,SGTool.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=47570944, vms=28098560, num_page_faults=96673, peak_wset=56446976, wset=47570944, peak_paged_pool=399432, paged_pool=346992, peak_nonpaged_pool=52120, nonpaged_pool=41720, pagefile=28098560, peak_pagefile=37040128, private=28098560)"
3744,msedge.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=118325248, vms=65482752, num_page_faults=85067, peak_wset=147132416, wset=118325248, peak_paged_pool=1155448, paged_pool=875792, peak_nonpaged_pool=33400, nonpaged_pool=23264, pagefile=65482752, peak_pagefile=99225600, private=65482752)"
3868,chrome.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=295698432, vms=170819584, num_page_faults=1499235, peak_wset=335183872, wset=295698432, peak_paged_pool=1667712, paged_pool=1515240, peak_nonpaged_pool=119496, nonpaged_pool=85792, pagefile=170819584, peak_pagefile=210640896, private=170819584)"
3872,svchost.exe,,0.0,"pmem(rss=9392128, vms=3158016, num_page_faults=4631, peak_wset=11046912, wset=9392128, peak_paged_pool=105752, paged_pool=105592, peak_nonpaged_pool=22904, nonpaged_pool=15224, pagefile=3158016, peak_pagefile=3883008, private=3158016)"
3880,svchost.exe,,0.0,"pmem(rss=5705728, vms=1851392, num_page_faults=3478, peak_wset=7192576, wset=5705728, peak_paged_pool=68728, paged_pool=68728, peak_nonpaged_pool=15056, nonpaged_pool=11136, pagefile=1851392, peak_pagefile=2318336, private=1851392)"
3964,RuntimeBroker.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=15810560, vms=3678208, num_page_faults=7550, peak_wset=23945216, wset=15810560, peak_paged_pool=269888, paged_pool=181728, peak_nonpaged_pool=21856, nonpaged_pool=14320, pagefile=3678208, peak_pagefile=6373376, private=3678208)"
3980,FileCoAuth.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=21446656, vms=5382144, num_page_faults=6310, peak_wset=23617536, wset=21446656, peak_paged_pool=228656, paged_pool=226752, peak_nonpaged_pool=15904, nonpaged_pool=15632, pagefile=5382144, peak_pagefile=7581696, private=5382144)"
4024,svchost.exe,,0.0,"pmem(rss=16977920, vms=6295552, num_page_faults=9520, peak_wset=19677184, wset=16977920, peak_paged_pool=172456, paged_pool=165272, peak_nonpaged_pool=27488, nonpaged_pool=20528, pagefile=6295552, peak_pagefile=7622656, private=6295552)"
4072,svchost.exe,,0.0,"pmem(rss=7766016, vms=2703360, num_page_faults=3058, peak_wset=9478144, wset=7766016, peak_paged_pool=90440, paged_pool=88728, peak_nonpaged_pool=14728, nonpaged_pool=11600, pagefile=2703360, peak_pagefile=3313664, private=2703360)"
4224,spoolsv.exe,,0.0,"pmem(rss=12959744, vms=5697536, num_page_faults=7679, peak_wset=16568320, wset=12959744, peak_paged_pool=148584, paged_pool=140840, peak_nonpaged_pool=36080, nonpaged_pool=20824, pagefile=5697536, peak_pagefile=6582272, private=5697536)"
4292,svchost.exe,,0.0,"pmem(rss=22540288, vms=14598144, num_page_faults=68060, peak_wset=27832320, wset=22540288, peak_paged_pool=119096, paged_pool=116272, peak_nonpaged_pool=38560, nonpaged_pool=32720, pagefile=14598144, peak_pagefile=18763776, private=14598144)"
4328,svchost.exe,,0.0,"pmem(rss=6889472, vms=2228224, num_page_faults=2967, peak_wset=8769536, wset=6889472, peak_paged_pool=91000, paged_pool=85240, peak_nonpaged_pool=15440, nonpaged_pool=10952, pagefile=2228224, peak_pagefile=2355200, private=2228224)"
4496,svchost.exe,,0.0,"pmem(rss=8142848, vms=2437120, num_page_faults=3405, peak_wset=10027008, wset=8142848, peak_paged_pool=93264, paged_pool=90288, peak_nonpaged_pool=13992, nonpaged_pool=11696, pagefile=2437120, peak_pagefile=2826240, private=2437120)"
4600,svchost.exe,,0.0,"pmem(rss=17530880, vms=4616192, num_page_faults=30536, peak_wset=24797184, wset=17530880, peak_paged_pool=198728, paged_pool=147112, peak_nonpaged_pool=18992, nonpaged_pool=14272, pagefile=4616192, peak_pagefile=6115328, private=4616192)"
4668,svchost.exe,,0.0,"pmem(rss=32477184, vms=23642112, num_page_faults=177033, peak_wset=155738112, wset=32477184, peak_paged_pool=479512, paged_pool=143936, peak_nonpaged_pool=37552, nonpaged_pool=20832, pagefile=23642112, peak_pagefile=167182336, private=23642112)"
4676,svchost.exe,,0.0,"pmem(rss=13295616, vms=6508544, num_page_faults=25967, peak_wset=60551168, wset=13295616, peak_paged_pool=1478104, paged_pool=119336, peak_nonpaged_pool=1483344, nonpaged_pool=26080, pagefile=6508544, peak_pagefile=54407168, private=6508544)"
